Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
Catawba,CAT-FD-DISP,12.5K,High,154.415,159.075,131.8,131.8,On
Catawba,CAT-FD-TAC,12.5K,High,154.295,154.295,131.8,131.8,On
Catawba,STATE FIRE,12.5K,High,154.28,154.28,131.8,131.8,On
Catawba,CAT-EMS-DISP,12.5K,High,159.96,159.495,118.8,118.8,On
Catawba,CAT-EMS-TAC,12.5K,High,155.16,155.16,131.8,131.8,On
Catawba,CAT-RSQ-DISP,12.5K,High,155.22,155.22,131.8,131.8,On
Catawba,CAT-RSQ-TAC,12.5K,High,155.235,155.235,131.8,131.8,On
Catawba,STATE-RSQ,12.5K,High,155.28,155.28,131.8,131.8,On
Catawba,EMS-HOSP,12.5K,High,155.34,155.34,131.8,131.8,On
Catawba,CATAWBA GOV,12.5K,High,155.025,155.025,131.8,131.8,On
Catawba,CAT SO M/A,12.5K,High,154.875,154.875,151.4,151.4,On
Catawba,CAT SO 3,12.5K,High,155.415,155.415,151.4,151.4,On
Catawba,CAT GARAGE,12.5K,High,155.025,155.025,151.4,151.4,On
Catawba,BANDY-FD-TAC,12.5K,High,154.445,154.445,131.8,131.8,On
Catawba,"	MV-VFD-TAC",12.5K,High,154.22,154.22,Off,Off,On
Catawba,"PSOPST-FDTAC	",12.5K,High,154.325,154.325,131.8,131.8,On
Catawba,CONVR-FD-TAC,12.5K,High,153.95,155.025,131.8,131.8,On
Catawba,CONVR-PD-DSP,12.5K,High,155.595,155.025,131.8,131.8,On
Catawba,CONVR-PD-C2C,12.5K,High,155.58,158.85,131.8,131.8,On
Catawba,CONVR-SERV 1,12.5K,High,155.985,155.985,Off,Off,On
Catawba,CONVR-SERV 2,12.5K,High,156.12,153.905,Off,Off,On
Catawba,"HKY-FD-DISP	",12.5K,High,156.225,151.205,D025N,D025N,On
Catawba,HKY-FD-TAC,12.5K,High,153.83,153.83,D025N,D025N,On
Catawba,HKY-FD-TAC,12.5K,High,154.175,154.175,D025N,D025N,On
Catawba,HKY-PD-DISP,12.5K,High,155.7,154.65,Off,Off,On
Catawba,HKY-PD-TAC,12.5K,High,155.91,155.91,Off,Off,On
Catawba,HKY-SERV 1,12.5K,High,153.785,153.785,Off,Off,On
Catawba,"HKY-SERV 2	",12.5K,High,155.835,155.835,Off,Off,On
Catawba,HKY-SERV 3,12.5K,High,158.745,155.985,Off,Off,On
Catawba,HKY-SERV 4,12.5K,High,159.225,159.225,Off,Off,On
Catawba,NEWTN-FD-TAC,12.5K,High,154.145,151.415,Off,Off,On
Catawba,NEWTN-PD-DSP,12.5K,High,155.25,159.03,151.4,151.4,On
Catawba,NEWTN-PD-C2C,12.5K,High,154.54,154.54,Off,Off,On
Catawba,NEWTN-SERV,12.5K,High,158.88,158.88,Off,Off,On
