Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
ICARS,ICARS B/U,25K,High,145.17,144.57,88.5,88.5,Off
ICARS,Meck ARES BU,25K,High,145.29,144.69,118.8,118.8,Off
ICARS,ARES Alt Traf,25K,High,145.35,144.75,Off,Off,Off
ICARS,ARES Net Alt,25K,High,145.47,144.87,100,100,Off
ICARS,ICARS ARES,25K,High,146.685,146.085,77,77,Off
ICARS,ARES Net AltB,25K,High,146.73,146.13,94.8,94.8,Off
ICARS,ARES Traf Alt,25K,High,146.82,146.22,94.8,94.8,Off
ICARS,FM Lsn Mck,25K,High,146.94,146.34,118.8,118.8,Off
ICARS,Skywarn,25K,High,146.23,145.63,118.8,118.8,Off
ICARS,Ashe ARES,25K,High,147.3,147.9,103.5,103.5,Off
ICARS,W4FAR Rpt,25K,High,145.37,144.77,94.8,94.8,Off
ICARS,Rowan ARES,25K,High,145.41,144.81,136.5,136.5,Off
ICARS,Alex Cty AR,25K,High,147.195,147.795,94.8,94.8,Off
ICARS,ARES Traffic,25K,High,146.49,146.49,Off,Off,Off
ICARS,ARES Sim,25K,Turbo,147.51,147.51,Off,Off,Off
ICARS,Calling,25K,High,146.52,146.52,Off,Off,Off
ICARS,ICARS ARES,25K,High,147.54,147.54,Off,Off,Off
ICARS,ARES Traffic,25K,High,146.55,146.55,Off,Off,Off
ICARS,ARES Traffuc,25K,High,146.58,146.58,Off,Off,Off
ICARS,BU Rpt Out,25K,High,146.685,146.685,Off,Off,Off
ICARS,UHF Sim,25K,High,443.85,443.85,Off,Off,Off
