Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
TN Ana,OAK RIDGE ,25K,High,442.8,447.8,100,100,Off
TN Ana,DEASON  ,25K,High,442.7,446.7,100,100,Off
TN Ana,SHORT MTN  ,25K,High,444.65,449.65,107.2,107.2,Off
TN Ana,MARYVILLE ,25K,High,443.9,448.9,100,100,Off
TN Ana,CLEVELAND  ,25K,High,442.025,447.025,97.4,100,Off
TN Ana,CROSSVILLE  ,25K,High,443.875,448.875,88.5,88.5,Off
TN Ana,NASHVILLE  ,25K,High,442.8,447.8,107.2,107.2,Off
TN Ana,W GIBSON CTY ,25K,High,442.3,447.3,100,100,Off
TN Ana,PULASKI  ,25K,High,443.55,443.55,100,100,Off
TN Ana,GREENVL   ,25K,High,441.85,446.85,100,100,Off
TN Ana,SIGNAL MTN  ,25K,High,443.125,448.125,103.5,103.5,Off
TN Ana,SNEEDVILLE  ,25K,High,442.45,447.45,100,100,Off
TN Ana,MOORESBURG ,25K,High,444.6,449.6,100,100,Off
TN Ana,JACKSON  ,25K,High,444.45,449.45,123,123,Off
TN Ana,HICKMAN  ,25K,High,442.55,447.55,123,123,Off
TN Ana,JEFFERSON ,25K,High,443.726,448.725,100,100,Off
TN Ana,KNOXVILLE ,25K,High,442.5,447.5,100,100,Off
TN Ana,LAWRENCEBRG  ,25K,High,443.4,448.4,100,100,Off
TN Ana,SOUTHPORT  ,25K,High,442.725,447.725,100,100,Off
TN Ana,LOBELVILLE ,25K,High,442.85,447.85,107.2,107.2,Off
TN Ana,COOKEVILLE  ,25K,High,444.6,449.6,107.2,107.2,Off
TN Ana,CROSS PLAINS ,25K,High,443.9,448.9,107.2,107.2,Off
TN Ana,GATLINBURG ,25K,High,444.9,449.9,100,100,Off
TN Ana,PASQUO  ,25K,High,443.975,448.974,107.2,107.2,Off
TN Ana,CLARKSVLLE  ,25K,High,442.626,447.625,107.2,107.2,Off
TN Ana,GALLATIN  ,25K,High,444.45,449.45,107.2,107.2,Off
TN Ana,WAYNE CO  ,25K,High,443.95,448.95,100,100,Off
TN Ana,FRANKLIN  ,25K,High,443.475,448.475,107.2,107.2,Off
TN Ana,HERITAGE  ,25K,High,443.075,448.075,156.7,156.7,Off
