Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
VA Lynch SMPX,Lynch 146.61,25K,High,146.61,146.01,Off,136.5,Off
VA Lynch SMPX,Lynch 442.6,25K,High,442.6,447.6,136.5,136.5,Off
VA Lynch SMPX,Lynch 145.37,25K,High,145.37,144.77,Off,186.2,Off
VA Lynch SMPX,Lynch 145.27,25K,High,145.27,144.67,Off,136.5,Off
VA Lynch SMPX,Lynch 443.5,25K,High,443.5,448.5,D712N,D712N,Off
VA Lynch SMPX,Lynch 147.195,25K,High,147.195,147.795,136.5,136.5,Off
VA Lynch SMPX,Lynch 444.5,25K,High,444.5,449.5,136.5,136.5,Off
VA Lynch SMPX,Lynch 444.75,25K,High,444.75,449.75,Off,136.5,Off
VA Lynch SMPX,Lynch 145.49,25K,High,145.49,144.89,136.5,136.5,Off
VA Lynch SMPX,Lynch 444.95,25K,High,444.95,449.95,Off,110.9,Off
VA Lynch SMPX,Lynch 146.685,25K,High,146.685,146.085,100,100,Off
VA Lynch SMPX,Lynch 442.65,25K,High,442.65,447.65,100,100,Off
VA Lynch SMPX,Lynch 444.925,25K,High,444.925,449.925,107.2,107.2,Off
VA Lynch SMPX,Lynch 147.105,25K,High,147.105,147.705,Off,136.5,Off
