Zone,Channel Name,Bandwidth,Power,RX Freq,TX Freq,CTCSS Decode,CTCSS Encode,TX Prohibit
WNC Analog,Avery 442.175,25K,High,442.175,447.175,123,123,Off
WNC Analog,BL ROCK 443.525,25K,High,443.575,448.575,103.5,103.5,Off
WNC Analog,CHINA GROVE 5.41,25K,High,145.41,144.81,Off,136.5,Off
WNC Analog,CLT 145.230,25K,High,145.23,144.63,Off,118.8,Off
WNC Analog,CLT 145.290,25K,High,145.29,144.69,Off,118.8,Off
WNC Analog,CLT 146.94,25K,High,146.94,146.34,Off,118.8,Off
WNC Analog,CONCORD 6.655,25K,High,146.655,146.055,Off,Off,Off
WNC Analog,DALLAS 145.35,25K,High,145.35,144.75,Off,Off,Off
WNC Analog,ELIZBTHTN 145.29,25K,High,145.29,144.69,Off,103.5,Off
WNC Analog,GASTONIA 146.805,25K,High,146.805,146.205,Off,100,Off
WNC Analog,GSTN SPNCR 7.12,25K,High,147.12,147.72,Off,100,Off
WNC Analog,LENOIR 146.625,25K,High,146.625,146.025,94.8,94.8,Off
WNC Analog,LENOIR 147.33,25K,High,147.33,147.93,141.3,141.3,Off
WNC Analog,MAYLAND 145.31,25K,High,145.31,144.71,Off,123,Off
WNC Analog,MAYLAND 147.21,25K,High,147.21,147.81,Off,123,Off
WNC Analog,MRGNTN 145.21,25K,High,145.21,144.61,Off,94.8,Off
WNC Analog,MRGNTN 147.15,25K,High,147.15,147.75,Off,94.8,Off
WNC Analog,MT MITCHELL 5.19,25K,High,145.19,144.59,Off,Off,Off
WNC Analog,MTN CTY 145.47,25K,High,145.47,144.87,Off,103.5,Off
WNC Analog,MTN CTY 145.61,25K,High,145.61,145.01,Off,123,Off
WNC Analog,RICH 2 MTR,25K,High,147.36,147.96,103.5,103.5,Off
WNC Analog,SHELBY 147.345,25K,High,147.345,147.945,Off,Off,Off
WNC Analog,SHELBY RAL 6.88,25K,High,146.88,146.28,Off,Off,Off
WNC Analog,SPARTA 145.43,25K,High,145.43,144.83,Off,82.5,Off
WNC Analog,WILKES 145.37,25K,High,145.37,144.77,Off,94.8,Off
WNC Analog,WILKES 146.82,25K,High,146.82,146.22,Off,94.8,Off
WNC Analog,WJEFF 147.300,25K,High,147.3,147.9,Off,103.5,Off
WNC Analog,WJEFF 443.075,25K,High,443.075,448.075,Off,94.8,Off
WNC Analog,Sparta 145.43,25K,High,145.43,144.83,Off,Off,Off
