Zone Name,Comment,Power,RX Freq,TX Freq,Color Code,Local,PRN,Echotest,Chat 1,Chat 2,PRN Clear
NC Boone PRN; Boone,PRN,High,443.0375,448.0375,1,1,2,1,1,1,2
NC Sugar PRN;SUGR,PRN,High,442.0875,447.0875,1,1,2,1,1,1,2
NC Buxton; Bux,PRN,High,444.0625,449.0625,1,1,2,1,1,1,2
NC Cary; Cary,PRN,High,443.7875,448.7875,1,1,2,1,1,1,2
NC CLT; CLT,PRN,High,442.4125,447.4125,1,1,2,1,1,1,2
NC Englehard;Engl,PRN,High,442.4625,447.4625,1,1,2,1,1,1,2
NC Franklin;Frkln,PRN,High,444.2,449.2,1,1,2,1,1,1,2
NC Ahoskie PRN; Ahoke,PRN,High,444.3375,449.3375,1,1,2,1,1,1,2
NC Gastonia  PRN; GAS,PRN,High,443.9125,448.9125,1,1,2,1,1,1,2
NC Goldsboro; GOLD,PRN,High,442.3625,447.3625,1,1,2,1,1,1,2
NC Greenville; GRNVL,PRN,High,444.8,449.8,1,1,2,1,1,1,2
NC Hertferd; HRTFD,PRN,High,442.1625,447.1625,1,1,2,1,1,1,2
NC Hillsborough; HLLBH,PRN,High,443.1375,448.1375,1,1,2,1,1,1,2
NC Jacksonville; JAX,PRN,High,441.8375,446.8375,1,1,2,1,1,1,2
NC King; King,PRN,High,442.6375,447.6375,1,1,2,1,1,1,2
NC Lenoir; LEN,PRN,High,443.1875,448.1875,1,1,2,1,1,1,2
NC Mamie; MAM,PRN,High,442.85,447.85,1,1,2,1,1,1,2
NC Morehead City; MHEAD,PRN,High,444.975,449.975,1,1,2,1,1,1,2
NC Nags Head; NAGS,PRN,High,444.9875,449.9875,1,1,2,1,1,1,2
NC Nashville NC; NASH,PRN,High,442.6125,447.6125,1,1,2,1,1,1,2
NC Sanford; SAN,PRN,High,442.3375,447.3375,1,1,2,1,1,1,2
NC Spruce Pine; SPRP,PRN,High,443.3875,448.3875,1,1,2,1,1,1,2
NC Southern Pines; SP,PRN,High,443.7626,448.7626,1,1,2,1,1,1,2
NC Sylva; SYL,PRN,High,442.975,447.975,1,1,2,1,1,1,2
NC West Jefferson; WJEFF,PRN,High,444.7375,449.7375,1,1,2,1,1,1,2
NC Wilmington; ILM,PRN,High,444.2375,449.2375,1,1,2,1,1,1,2
NC Wilson; WILS,PRN,High,440.1,445.1,1,1,2,1,1,1,2
NC Wingate; WNGT,PRN,High,444.3875,449.3875,1,1,2,1,1,1,2
SC Anderson; ADSN,PRN,High,444.5375,449.5375,1,1,2,1,1,1,2
SC Barnwell; BARN,PRN,High,440.6875,445.6875,1,1,2,1,1,1,2
SC Beaufort;BFT,PRN,High,441.9875,446.9875,1,1,2,1,1,1,2
SC Beech Island; BCHI,PRN,High,444.2875,449.2875,1,1,2,1,1,1,2
SC Bluffton; BLUF,PRN,High,444.7375,449.7375,1,1,2,1,1,1,2
SC Charleston; CHLS,PRN,High,443.037,448.037,1,1,2,1,1,1,2
SC N Charleston; NCHLS,PRN,High,442.4625,447.4625,1,1,2,1,1,1,2
SC S Charleston; SCHLS,PRN,High,442.3875,447.3875,1,1,2,1,1,1,2
SC Chester; CHTR,PRN,High,440.575,445.575,1,1,2,1,1,1,2
SC Clemson; CLEM,PRN,High,442.2375,447.2375,1,1,2,1,1,1,2
SC Columbia; COL,PRN,High,440.6125,445.6125,1,1,2,1,1,1,2
SC E Columbia; ECOL,PRN,High,442.5125,447.5125,1,1,2,1,1,1,2
SC W Columbia; WCOL,PRN,High,443.5375,448.5375,1,1,2,1,1,1,2
SC Dillon; DILL,PRN,High,443.1625,448.1625,1,1,2,1,1,1,2
SC Florence; FLOR,PRN,High,442.1625,447.1625,1,1,2,1,1,1,2
SC Georgetown; GTWN,PRN,High,441.8125,446.8125,1,1,2,1,1,1,2
SC Greenville; GVL,PRN,High,443.1125,448.1125,1,1,2,1,1,1,2
SC Greenwood; GWD,PRN,High,443.8375,448.8375,1,1,2,1,1,1,2
SC Hilton Head; HHI,PRN,High,442.0375,447.0375,1,1,2,1,1,1,2
SC Lake City; LAKe,PRN,High,440.6375,445.6375,1,1,2,1,1,1,2
SC Murrels Inlet; MURI,PRN,High,441.8875,446.8875,1,1,2,1,1,1,2
SC Myrtle Beach; MB,PRN,High,441.9125,446.9125,1,1,2,1,1,1,2
SC Orangeburg; ORGBG,PRN,High,440.5875,445.5875,1,1,2,1,1,1,2
SC Pickens; P:ICK,PRN,High,442.3125,447.3125,1,1,2,1,1,1,2
SC Rock Hill; ROCK,PRN,High,440.5125,445.5125,1,1,2,1,1,1,2
SC Spartanburg; SPG,PRN,High,440.6625,445.6625,1,1,2,1,1,1,2
SC St George; SGEO,PRN,High,440.65,445.65,1,1,2,1,1,1,2
SC Sumpter; SMPT,PRN,High,442.3125,447.3125,1,1,2,1,1,1,2
SC Sumpter Center; SUMPC,PRN,High,441.8375,446.8375,1,1,2,1,1,1,2
SC Walhalla; WHLA,PRN,High,442.5375,447.5375,1,1,2,1,1,1,2
VA Chesapeake; CHSPK,PRN,High,442.5875,447.5875,1,1,2,1,1,1,2
VA Fancy Gap; FCYG,PRN,High,443.9375,448.9375,1,1,2,1,1,1,2
VA Roanoake; RNKE,PRN,High,441.8875,446.8875,1,1,2,1,1,1,2
VA Wytheville; WYTH,PRN,High,443.2625,448.2625,1,1,2,1,1,1,2
